,timestamp,packge_ratio_package,cache_miss,cpu_cycles,cpu_instructions,package_power,core_power,uncore_power,dram_power,node_type,id
182,1695116209,1.0,1559309.0,44175366317.666664,40605415768.333336,285.00699999928474,0.0,0.0,31.48200000077486,1.0,all containers
183,1695116212,1.0,1289900.3333333335,44618798056.0,42354010634.0,287.8910000063479,0.0,0.0,32.25400000438094,1.0,all containers
184,1695116215,1.0,1343607.6666666665,44691388890.666664,43034508263.0,289.9150000028312,0.0,0.0,32.94700000062585,1.0,all containers
185,1695116218,1.0,1374575.3333333335,44619754259.666664,42586039646.333336,293.27000000327826,0.0,0.0,33.875,1.0,all containers
186,1695116221,1.0,1476648.6666666667,44591470736.333336,42413757808.666664,288.75100000202656,0.0,0.0,32.149999998509884,1.0,all containers
187,1695116224,1.0,1392755.0,44573362144.333336,42241318550.333336,290.722000002861,0.0,0.0,32.891000002622604,1.0,all containers
188,1695116227,1.0,1473951.3333333335,44495123453.0,42207654900.33333,288.8090000040829,0.0,0.0,32.248000003397465,1.0,all containers
189,1695116230,1.0,1411956.0,44608563956.666664,42846371192.666664,293.5140000022948,0.0,0.0,33.86200000345707,1.0,all containers
190,1695116233,1.0,1446501.0,44625544710.66667,42872649960.0,286.33500000089407,0.0,0.0,31.347999997437,1.0,all containers
191,1695116236,1.0,1300178.6666666665,44413883628.0,42567884479.666664,293.04400000721216,0.0,0.0,33.73100000247359,1.0,all containers
192,1695116239,1.0,613267.3333333334,4102619226.041667,2161108540.6666665,26.262000001966953,0.0,0.0,5.061000000685453,1.0,all containers
193,1695116242,1.0,419801.0,452279133.0,178086586.6666667,2.617000002413988,0.0,0.0,0.0,1.0,all containers
194,1695116245,1.0,283426.0,372030556.3333334,244097683.3333333,2.788000002503395,0.0,0.0,3.725290298461914e-09,1.0,all containers
195,1695116248,1.0,239055.6666666667,333980783.3333333,197721306.3333333,1.556000005453825,0.0,0.0,3.725290298461914e-09,1.0,all containers
196,1695116251,1.0,483353.6666666666,556655332.0,327836511.6666667,7.575000002980232,0.0,0.0,4.905000001192093,1.0,all containers
197,1695116254,1.0,1041921.0,2269567194.0,1196645808.0,228.63100000098348,0.0,0.0,31.815999999642372,1.0,all containers
198,1695116257,1.0,1964987.9999999998,44471691886.0,49788689268.333336,300.61500000208616,0.0,0.0,31.967000000178814,1.0,all containers
199,1695116260,1.0,2138203.333333333,44432160533.0,49270349545.33333,309.1390000022948,0.0,0.0,34.7200000025332,1.0,all containers
200,1695116263,1.0,2158029.6666666665,44576721116.0,50232601160.99999,301.6380000039935,0.0,0.0,31.89699999988079,1.0,all containers
201,1695116266,1.0,1952648.3333333333,44649605485.0,51250713592.0,306.63100000470877,0.0,0.0,33.76700000092387,1.0,all containers
202,1695116269,1.0,1976183.9999999998,44633135312.33333,51605806696.0,302.68300000205636,0.0,0.0,32.02199999988079,1.0,all containers
