timestamp,cache_miss,cpu_cycles,cpu_instructions,platform_power,node_type
1695116023,766478.3333333333,513916759.6666667,335274721.6666666,171.0,1
1695116026,1006147.6666666667,2801316631.6666665,779593113.3333334,241.0,1
1695116029,1980924.6666666665,32283161707.0,34804731410.666664,241.0,1
1695116032,1702826.0,31499381522.333332,36076068421.333336,240.0,1
1695116035,1572422.0,31837702236.666668,35763339675.666664,239.0,1
1695116038,1596961.9999999998,32391631594.0,35628746291.99999,239.0,1
1695116041,1740493.0,31233038569.0,36108080570.33333,238.0,1
1695116044,1606487.6666666665,32222264286.333336,35229412332.333336,240.0,1
1695116047,1858779.6666666665,31463309695.666664,36521876052.0,242.0,1
1695116050,1454206.6666666665,31608828992.0,35254720675.333336,239.0,1
1695116053,1641820.0,32572890563.333336,36332134514.666664,241.0,1
1695116056,1206474.0,20306650057.333332,20091535385.666668,171.0,1
1695116059,512492.3333333334,615072763.3333334,320318342.3333334,171.0,1
1695116062,262576.3333333333,504759300.3333334,286124837.0,171.0,1
1695116065,306923.3333333334,476658894.6666667,341278588.6666667,171.0,1
1695116068,292642.6666666667,403359144.6666667,288968966.6666666,171.0,1
1695116071,948976.0,3514477753.0,1877716658.3333335,182.0,1
1695116074,344839.3333333334,25246221703.0,13414632367.333332,224.0,1
1695116077,457378.0,24638177180.666664,13639833188.666668,222.0,1
1695116080,403395.6666666667,24928464263.333332,14769621179.0,224.0,1
1695116083,550730.0,24918268148.666668,13920782133.0,224.0,1
1695116086,491289.6666666667,24245216698.0,13364775357.333332,224.0,1
1695116089,406690.6666666666,24820625541.333336,14902830355.333332,224.0,1
1695116092,497481.0,25145171990.333336,13919893812.333334,225.0,1
1695116095,362798.6666666667,25452433435.666664,13112424887.666668,223.0,1
1695116098,497786.0,24695623298.0,14774196774.0,223.0,1
1695116101,447457.6666666667,20654321509.0,11032956212.0,208.0,1
1695116104,473502.0,598261921.5333333,322111006.0,171.0,1
1695116107,472435.0,533806386.6666667,359282068.0,171.0,1
1695116110,247363.3333333333,342517377.0,249450091.66666666,172.0,1
1695116113,186339.0,329468396.6666667,226363102.33333334,171.0,1
1695116116,833169.0,3028934872.0,1539848169.0,208.0,1
1695116119,443176.3333333333,31457175985.333336,20763759638.0,240.0,1
1695116122,492489.6666666666,31764965632.333332,20557617955.666664,242.0,1
1695116125,433113.3333333333,31343235642.333336,21020336708.666668,244.0,1
1695116128,577008.0,31922131508.0,21043280738.0,240.0,1
1695116131,429868.3333333334,31508487782.333336,20627329639.333332,242.0,1
1695116134,490421.3333333333,30722227668.333336,20664246718.666668,241.0,1
1695116137,506499.6666666667,31570563134.666664,20801969290.0,242.0,1
1695116140,446528.6666666666,31796748684.333332,20811534746.666668,240.0,1
1695116143,554557.6666666667,31746172717.0,20951171301.0,244.0,1
1695116146,865922.3333333334,27133967042.0,18326912459.666668,242.0,1
1695116149,496025.0,439989453.3333334,267368306.6666667,171.0,1
1695116152,325875.6666666666,366561731.6666667,233483500.0,171.0,1
1695116155,237484.0,303273387.0,170288062.0,171.0,1
1695116158,275702.3333333333,389073449.0,202393951.0,171.0,1
1695116161,931438.3333333334,3154862508.333333,1502521076.6666665,200.0,1
1695116164,782993.0,42672816558.33333,32826824273.0,274.0,1
1695116167,812150.3333333333,42539503349.333336,33699050006.0,273.0,1
1695116170,827438.3333333333,42417820679.0,32452572721.0,275.0,1
1695116173,852050.3333333333,42583510135.33333,31984890161.0,274.0,1
1695116176,789239.3333333334,42370192507.0,33180136877.666668,273.0,1
