,timestamp,bpf_cpu_time_us,platform_power,node_type,id
1716,1695120811,546.3333333333334,0.0,1.0,all containers
1717,1695120814,521.0,50.0,1.0,all containers
1718,1695120817,14538.0,69.0,1.0,all containers
1719,1695120820,14512.666666666668,108.0,1.0,all containers
1720,1695120823,14499.333333333332,110.0,1.0,all containers
1721,1695120826,14435.666666666666,118.0,1.0,all containers
1722,1695120829,14609.666666666666,129.0,1.0,all containers
1723,1695120832,14460.0,127.0,1.0,all containers
1724,1695120835,14410.333333333334,131.0,1.0,all containers
1725,1695120838,14378.0,125.0,1.0,all containers
1726,1695120841,14451.0,128.0,1.0,all containers
1727,1695120844,14318.333333333334,130.0,1.0,all containers
1728,1695120847,10270.333333333334,101.0,1.0,all containers
1729,1695120850,507.6666666666667,0.0,1.0,all containers
1730,1695120853,549.3333333333334,0.0,1.0,all containers
1731,1695120856,508.3333333333333,0.0,1.0,all containers
1732,1695120859,552.3333333333334,0.0,1.0,all containers
1733,1695120862,545.3333333333334,15.0,1.0,all containers
1734,1695120865,22648.333333333332,77.0,1.0,all containers
1735,1695120868,22704.0,118.0,1.0,all containers
1736,1695120871,22711.333333333336,120.0,1.0,all containers
1737,1695120874,22576.333333333332,137.0,1.0,all containers
1738,1695120877,22575.666666666668,137.0,1.0,all containers
1739,1695120880,22636.666666666668,138.0,1.0,all containers
1740,1695120883,22588.333333333332,138.0,1.0,all containers
1741,1695120886,22582.666666666668,136.0,1.0,all containers
1742,1695120889,22634.0,138.0,1.0,all containers
1743,1695120892,22556.333333333332,138.0,1.0,all containers
1744,1695120895,19348.333333333332,117.0,1.0,all containers
1745,1695120898,5962.666666666667,0.0,1.0,all containers
1746,1695120901,558.3333333333334,0.0,1.0,all containers
1747,1695120904,502.3333333333333,0.0,1.0,all containers
1748,1695120907,529.6666666666666,0.0,1.0,all containers
1749,1695120910,533.0,0.0,1.0,all containers
1750,1695120913,271.0,76.0,1.0,all containers
1751,1695120916,28013.333333333332,117.0,1.0,all containers
1752,1695120919,27887.333333333336,139.0,1.0,all containers
1753,1695120922,27537.333333333332,140.0,1.0,all containers
1754,1695120925,27710.333333333336,140.0,1.0,all containers
1755,1695120928,27715.666666666668,140.0,1.0,all containers
1756,1695120931,27593.333333333332,139.0,1.0,all containers
1757,1695120934,27802.666666666668,140.0,1.0,all containers
1758,1695120937,27567.666666666664,140.0,1.0,all containers
1759,1695120940,27724.999999999996,140.0,1.0,all containers
1760,1695120943,20858.0,159.0,1.0,all containers
1761,1695120946,608.0,1.0,1.0,all containers
1762,1695120949,534.3333333333334,0.0,1.0,all containers
1763,1695120952,523.0,0.0,1.0,all containers
1764,1695120955,499.3333333333333,0.0,1.0,all containers
1765,1695120958,554.0,53.0,1.0,all containers
1766,1695120961,4327.333333333333,56.0,1.0,all containers
1767,1695120964,4298.333333333333,55.0,1.0,all containers
1768,1695120967,4327.0,56.0,1.0,all containers
1769,1695120970,4327.0,55.0,1.0,all containers
1770,1695120973,4282.666666666667,58.0,1.0,all containers
1771,1695120976,4251.0,60.0,1.0,all containers
1772,1695120979,4456.333333333333,60.0,1.0,all containers
1773,1695120982,4304.0,61.0,1.0,all containers
1774,1695120985,4254.333333333334,62.0,1.0,all containers
1775,1695120988,4198.0,63.0,1.0,all containers
1776,1695120991,4202.333333333334,70.0,1.0,all containers
1777,1695120994,4126.333333333333,70.0,1.0,all containers
1778,1695120997,4163.666666666666,75.0,1.0,all containers
1779,1695121000,4145.666666666666,70.0,1.0,all containers
1780,1695121003,4291.333333333333,54.0,1.0,all containers
1781,1695121006,1431.0,0.0,1.0,all containers
1782,1695121009,561.3333333333334,0.0,1.0,all containers
1783,1695121012,520.3333333333334,0.0,1.0,all containers
1784,1695121015,506.66666666666663,0.0,1.0,all containers
1785,1695121018,523.0,0.0,1.0,all containers
1786,1695121021,592.0,76.0,1.0,all containers
1787,1695121024,8001.666666666667,77.0,1.0,all containers
1788,1695121027,7983.333333333333,90.0,1.0,all containers
1789,1695121030,8007.333333333334,92.0,1.0,all containers
1790,1695121033,7990.333333333333,93.0,1.0,all containers
1791,1695121036,7954.666666666667,89.0,1.0,all containers
1792,1695121039,7989.0,96.0,1.0,all containers
1793,1695121042,7966.0,92.0,1.0,all containers
